S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
3,0,3,1,9,0,0,0,0,5,25,11,1,12,0,5,2,7,0,62,34,3,11,1,3,3,1,1.53676915168762,0.609657466411591,0.852644324302673,1.65882658958435,0.395300835371017,0.621384203433991,1.43637919425964,0.135794177651405,0.631287455558777,1.40655565261841,0.254334390163422,0.792154967784882,11_Sep_2023_14_40
4,0,1,3,9,1,1,0,3,6,23,2,1,14,0,7,0,7,0,63,34,7,15,3,2,7,1,1.53705883026123,0.609803318977356,0.85295695066452,1.65902233123779,0.395158261060715,0.621925115585327,1.4349547624588,0.136554017663002,0.630329012870789,1.40582406520844,0.255028873682022,0.791195929050446,11_Sep_2023_14_40
5,2,6,2,8,0,1,0,3,6,24,4,1,13,0,5,0,4,0,68,33,0,13,4,3,9,2,1.53744518756866,0.609900414943695,0.8532595038414,1.65918064117432,0.395320236682892,0.62200129032135,1.43344473838806,0.137280896306038,0.628800630569458,1.40488719940186,0.255605459213257,0.789941132068634,11_Sep_2023_14_40
2,4,3,9,8,0,0,0,3,6,18,7,5,16,0,3,0,6,0,69,36,2,19,5,2,7,2,1.53774046897888,0.610007524490356,0.853520214557648,1.65930461883545,0.395426273345947,0.622101247310638,1.43184888362885,0.138122111558914,0.627604782581329,1.40400052070618,0.256152838468552,0.788804948329926,11_Sep_2023_14_40
13,3,2,3,9,0,0,0,5,8,25,5,0,14,0,5,8,6,0,67,34,2,17,5,0,9,2,1.53810453414917,0.610104024410248,0.853806495666504,1.65943813323975,0.395464777946472,0.622318863868713,1.42967283725739,0.139313161373138,0.625084817409515,1.40246260166168,0.257013946771622,0.787044107913971,11_Sep_2023_14_40
5,3,13,2,10,0,0,2,1,11,23,3,0,13,0,5,0,7,1,67,35,3,22,6,0,8,1,1.53850769996643,0.610268771648407,0.854135096073151,1.65960240364075,0.395549714565277,0.622600615024567,1.42661213874817,0.141241565346718,0.622618973255158,1.40103447437286,0.257787972688675,0.785266697406769,11_Sep_2023_14_40
3,0,4,3,11,0,1,1,3,6,22,2,0,15,5,6,0,6,1,69,36,3,21,3,3,8,6,1.5388822555542,0.61040586233139,0.8546022772789,1.65970122814179,0.395577520132065,0.622789442539215,1.42508399486542,0.14219830930233,0.62106853723526,1.40035891532898,0.258154720067978,0.784334480762482,11_Sep_2023_14_40
5,4,2,5,14,0,0,0,2,3,23,4,2,13,0,5,0,6,1,69,36,0,19,0,4,8,2,1.53931438922882,0.610550045967102,0.855029821395874,1.65995025634766,0.395569860935211,0.623088121414185,1.42015421390533,0.145257487893104,0.617162942886353,1.39832186698914,0.25922954082489,0.781870007514954,11_Sep_2023_14_40
6,0,1,0,18,0,1,0,1,8,25,4,0,13,0,5,0,5,1,67,36,2,22,6,0,8,1,1.53989088535309,0.610694348812103,0.85540109872818,1.66013062000275,0.395628720521927,0.623494744300842,1.41592347621918,0.148180142045021,0.613701641559601,1.39623034000397,0.260295659303665,0.77979850769043,11_Sep_2023_14_40
5,4,2,2,12,1,0,6,9,4,26,3,0,14,0,6,2,5,0,71,38,2,22,11,0,10,4,1.54060804843903,0.610987424850464,0.855761766433716,1.66035199165344,0.395673483610153,0.623875021934509,1.41246867179871,0.150406315922737,0.610466063022614,1.39470362663269,0.261171132326126,0.777854323387146,11_Sep_2023_14_40
5,4,3,2,11,0,1,0,9,5,26,4,0,14,0,5,0,6,1,67,36,3,20,0,1,9,0,1.54096913337708,0.611082494258881,0.856468617916107,1.66058719158173,0.395610719919205,0.624254524707794,1.40757644176483,0.153892815113068,0.605987846851349,1.39260303974152,0.26257199048996,0.774908006191254,11_Sep_2023_14_40
8,0,4,5,13,1,3,16,1,5,24,4,1,12,0,5,6,6,2,69,35,1,19,6,6,9,0,1.541619181633,0.611268162727356,0.857078313827515,1.66071105003357,0.395517796278,0.625035464763641,1.40269529819489,0.157784536480904,0.601231515407562,1.39027094841003,0.264138460159302,0.771697342395783,11_Sep_2023_14_40
7,1,12,3,14,4,0,0,8,5,25,8,0,14,0,3,0,7,0,64,40,1,23,4,3,9,2,1.54215049743652,0.611407041549683,0.857414364814758,1.6609138250351,0.395534783601761,0.625253140926361,1.39899587631226,0.160923182964325,0.597131550312042,1.38854420185089,0.265403747558594,0.769241333007813,11_Sep_2023_14_40
6,0,2,5,17,0,0,0,3,6,25,5,1,14,2,3,0,6,0,66,40,2,19,4,3,6,1,1.54276406764984,0.611685752868652,0.857957005500793,1.66105914115906,0.395447373390198,0.625633418560028,1.39402985572815,0.165614664554596,0.591832518577576,1.38608729839325,0.267172634601593,0.765705823898315,11_Sep_2023_14_40
4,1,7,2,13,4,0,0,5,8,25,2,2,13,8,10,1,7,1,69,40,5,19,1,3,10,0,1.54361462593079,0.611944019794464,0.858703136444092,1.6611236333847,0.395461589097977,0.625931918621063,1.38901817798615,0.170772060751915,0.586184978485107,1.38393235206604,0.268867343664169,0.762069284915924,11_Sep_2023_14_40
