S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
19,1,28,30,34,1,3,6,3,5,8,12,1,13,4,0,1,0,2,12,23,4,64,31,1,89,3,0,29,4,0,2,1.44771027565002,0.597094058990479,0.880393207073212,1.55532014369965,0.396936476230621,0.630308270454407,1.29422092437744,0.124131619930267,0.630602896213532,1.28441274166107,0.302289515733719,0.779345571994782,16_Aug_2023_11_24
21,0,29,30,33,0,0,0,3,7,10,12,0,13,8,1,1,0,1,11,25,7,65,27,1,89,3,0,29,6,0,1,1.44771027565002,0.597094058990479,0.880393207073212,1.55532014369965,0.396936476230621,0.630308270454407,1.29422092437744,0.124131619930267,0.630602896213532,1.28441274166107,0.302289515733719,0.779345571994782,16_Aug_2023_11_24
18,0,25,32,33,0,0,0,3,7,12,15,1,11,0,0,0,1,2,10,24,8,63,26,13,86,0,0,29,5,0,0,1.44765377044678,0.597055017948151,0.88034188747406,1.55542087554932,0.396941244602203,0.630311191082001,1.29432368278503,0.124102875590324,0.630421042442322,1.28447413444519,0.302259892225265,0.77920401096344,16_Aug_2023_11_24
19,0,29,30,39,0,1,0,4,7,11,12,1,13,0,0,2,0,2,10,21,12,63,28,1,82,2,0,30,7,0,1,1.44765377044678,0.597055017948151,0.88034188747406,1.55542087554932,0.396941244602203,0.630311191082001,1.29432368278503,0.124102875590324,0.630421042442322,1.28447413444519,0.302259892225265,0.77920401096344,16_Aug_2023_11_24
19,0,26,29,34,1,1,0,8,7,8,17,0,13,0,0,3,0,2,10,25,4,65,26,1,86,3,0,30,6,0,2,1.44760322570801,0.59703266620636,0.880281507968903,1.55557477474213,0.396969944238663,0.630210101604462,1.29499506950378,0.124018609523773,0.631083369255066,1.2845231294632,0.302226513624191,0.779072463512421,16_Aug_2023_11_24
21,1,27,31,34,11,1,0,0,7,8,9,3,13,1,0,2,0,2,9,26,6,64,25,0,88,2,1,30,9,2,0,1.44760322570801,0.59703266620636,0.880281507968903,1.55557477474213,0.396969944238663,0.630210101604462,1.29499506950378,0.124018609523773,0.631083369255066,1.2845231294632,0.302226513624191,0.779072463512421,16_Aug_2023_11_24
17,0,32,32,32,0,0,0,5,5,8,17,1,11,0,0,2,0,7,9,22,7,65,28,5,87,1,0,30,7,1,0,1.44756042957306,0.597011864185333,0.880217790603638,1.55567026138306,0.396996200084686,0.63026362657547,1.29510879516602,0.123956203460693,0.630909442901611,1.28452348709106,0.302238762378693,0.778942167758942,16_Aug_2023_11_24
17,1,27,30,35,0,1,0,6,10,13,14,1,11,4,4,2,0,2,11,24,6,64,28,0,88,3,0,28,8,6,4,1.44756042957306,0.597011864185333,0.880217790603638,1.55567026138306,0.396996200084686,0.63026362657547,1.29510879516602,0.123956203460693,0.630909442901611,1.28452348709106,0.302238762378693,0.778942167758942,16_Aug_2023_11_24
17,0,30,30,35,3,1,3,5,11,13,13,0,11,1,0,1,0,0,13,19,3,64,25,3,85,2,0,28,10,1,0,1.44751369953156,0.596990168094635,0.880153834819794,1.55578327178955,0.397013366222382,0.630254089832306,1.29518306255341,0.123900793492794,0.630678832530975,1.28456223011017,0.302194774150848,0.778772115707397,16_Aug_2023_11_24
20,1,29,29,34,0,2,1,3,7,12,16,1,10,1,13,1,0,2,9,20,3,63,28,3,85,4,2,28,10,1,0,1.44751369953156,0.596990168094635,0.880153834819794,1.55578327178955,0.397013366222382,0.630254089832306,1.29518306255341,0.123900793492794,0.630678832530975,1.28456223011017,0.302194774150848,0.778772115707397,16_Aug_2023_11_24
19,4,30,29,35,0,1,0,1,6,11,13,0,11,0,0,1,0,0,12,26,7,64,24,0,84,4,1,29,9,1,0,1.44747030735016,0.596973240375519,0.880082607269287,1.55587720870972,0.396990567445755,0.63027423620224,1.29525136947632,0.12383259087801,0.630480408668518,1.28462684154511,0.302149295806885,0.778603971004486,16_Aug_2023_11_24
19,1,29,31,33,0,1,0,1,14,11,13,1,13,1,0,1,1,7,5,23,7,66,25,1,82,2,1,29,3,1,5,1.44747030735016,0.596973240375519,0.880082607269287,1.55587720870972,0.396990567445755,0.63027423620224,1.29525136947632,0.12383259087801,0.630480408668518,1.28462684154511,0.302149295806885,0.778603971004486,16_Aug_2023_11_24
18,0,30,31,35,0,1,0,3,8,13,15,9,12,0,0,0,0,3,12,23,6,64,24,2,84,3,0,28,7,0,1,1.44742822647095,0.596955060958862,0.880022406578064,1.55596840381622,0.396982461214066,0.630275130271912,1.29534077644348,0.12379601597786,0.630294263362885,1.28468787670136,0.302076905965805,0.778481423854828,16_Aug_2023_11_24
