S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,7,33,48,0,10,0,8,7,19,3,13,10,2,2,5,9,28,10,14,7,45,24,4,61,1,11,21,4,0,2,1.54373204708099,0.642575740814209,0.772050380706787,1.66620087623596,0.41218227148056,0.567692339420319,1.38564395904541,0.647725045681,0.322350412607193,1.33526635169983,0.562797129154205,0.514862477779388,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,8,33,47,1,10,1,7,5,21,1,1,13,1,4,2,0,25,9,15,2,49,26,0,63,5,12,24,2,0,0,1.54373204708099,0.642575740814209,0.772050380706787,1.66620087623596,0.41218227148056,0.567692339420319,1.38564395904541,0.647725045681,0.322350412607193,1.33526635169983,0.562797129154205,0.514862477779388,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,11,32,51,0,5,4,13,9,23,4,0,14,0,3,3,6,27,9,12,10,47,25,4,65,3,12,22,7,0,0,1.5437308549881,0.642565310001373,0.772047162055969,1.66620814800262,0.412210673093796,0.567663133144379,1.38558650016785,0.64773440361023,0.32234925031662,1.33524692058563,0.562808990478516,0.514887630939484,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,11,31,49,0,8,0,9,6,21,7,11,10,2,6,3,0,22,14,15,4,52,25,2,68,3,12,23,8,3,0,1.5437308549881,0.642565310001373,0.772047162055969,1.66620814800262,0.412210673093796,0.567663133144379,1.38558650016785,0.64773440361023,0.32234925031662,1.33524692058563,0.562808990478516,0.514887630939484,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,32,52,0,8,1,9,5,23,6,0,8,2,8,2,9,21,21,15,5,53,25,4,64,0,11,23,6,4,0,1.54372715950012,0.642554521560669,0.772040367126465,1.66620028018951,0.412229895591736,0.567641913890839,1.38550865650177,0.647756159305573,0.322370141744614,1.33522796630859,0.562816560268402,0.514909088611603,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,8,32,52,0,4,0,7,7,24,8,2,8,1,8,3,4,24,20,14,0,54,24,4,65,4,11,20,8,1,3,1.54372715950012,0.642554521560669,0.772040367126465,1.66620028018951,0.412229895591736,0.567641913890839,1.38550865650177,0.647756159305573,0.322370141744614,1.33522796630859,0.562816560268402,0.514909088611603,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,10,32,45,0,7,1,9,1,27,3,0,11,11,10,2,1,23,18,13,0,57,27,6,64,7,10,25,6,10,0,1.54371953010559,0.642543911933899,0.772040367126465,1.66618180274963,0.412252008914948,0.567609846591949,1.38545703887939,0.647781908512116,0.322399318218231,1.33522129058838,0.562803506851196,0.514940977096558,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,10,30,46,0,7,0,8,3,31,3,0,11,0,9,2,3,21,24,13,4,58,27,3,70,2,10,26,8,1,0,1.54371953010559,0.642543911933899,0.772040367126465,1.66618180274963,0.412252008914948,0.567609846591949,1.38545703887939,0.647781908512116,0.322399318218231,1.33522129058838,0.562803506851196,0.514940977096558,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,9,31,46,0,2,0,9,6,28,5,1,13,0,9,5,2,21,23,11,6,62,21,4,68,8,13,25,4,0,3,1.54371404647827,0.642541706562042,0.772042810916901,1.66617369651794,0.412279933691025,0.567577481269836,1.38539230823517,0.647804439067841,0.322416573762894,1.33519244194031,0.562817752361298,0.514965236186981,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,10,33,42,0,5,0,7,7,30,5,1,0,0,8,3,0,17,20,14,4,63,24,3,79,3,11,30,5,0,2,1.54371404647827,0.642541706562042,0.772042810916901,1.66617369651794,0.412279933691025,0.567577481269836,1.38539230823517,0.647804439067841,0.322416573762894,1.33519244194031,0.562817752361298,0.514965236186981,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,11,32,35,3,8,0,1,6,31,3,2,6,1,12,0,4,18,20,13,0,67,24,2,76,2,13,33,7,5,0,1.54370820522308,0.642534971237183,0.77204692363739,1.66616547107697,0.412296533584595,0.567537724971771,1.38532710075378,0.647831797599793,0.322438806295395,1.33514928817749,0.562793016433716,0.514967024326324,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,11,32,39,0,9,1,5,6,35,5,0,8,1,6,3,3,15,14,10,2,75,28,0,81,4,11,29,6,0,1,1.54370820522308,0.642534971237183,0.77204692363739,1.66616547107697,0.412296533584595,0.567537724971771,1.38532710075378,0.647831797599793,0.322438806295395,1.33514928817749,0.562793016433716,0.514967024326324,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,10,32,38,0,9,0,5,6,37,3,0,5,1,18,2,4,15,20,9,3,77,21,7,80,3,16,33,4,0,0,1.54370617866516,0.642530560493469,0.772055745124817,1.6661434173584,0.412311911582947,0.567519426345825,1.38521873950958,0.647869169712067,0.322459578514099,1.33515048027039,0.562830150127411,0.515014469623566,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,9,33,39,1,8,0,11,3,38,5,0,3,0,7,3,4,15,22,12,10,73,22,3,85,5,9,28,5,3,0,1.54369425773621,0.642532229423523,0.772068321704865,1.66612231731415,0.412328958511352,0.567489326000214,1.38512849807739,0.647904634475708,0.322482466697693,1.33512377738953,0.562837839126587,0.515045762062073,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,7,34,38,0,7,0,6,6,38,8,1,0,1,11,2,2,17,20,16,5,77,25,3,85,3,9,29,4,0,0,1.54369425773621,0.642532229423523,0.772068321704865,1.66612231731415,0.412328958511352,0.567489326000214,1.38512849807739,0.647904634475708,0.322482466697693,1.33512377738953,0.562837839126587,0.515045762062073,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,10,29,31,1,8,0,5,10,38,11,1,7,2,1,2,6,15,21,9,1,82,22,3,85,1,12,29,1,0,0,1.5436909198761,0.642523765563965,0.772071301937103,1.66607010364532,0.412329763174057,0.567509829998016,1.38504159450531,0.647940456867218,0.32251438498497,1.33508253097534,0.56285035610199,0.515072345733643,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,16,25,26,0,6,0,7,6,37,7,0,9,0,0,0,5,13,18,12,5,81,25,3,95,3,9,29,6,0,0,1.5436909198761,0.642523765563965,0.772071301937103,1.66607010364532,0.412329763174057,0.567509829998016,1.38504159450531,0.647940456867218,0.32251438498497,1.33508253097534,0.56285035610199,0.515072345733643,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,16,28,32,1,3,1,5,11,39,13,1,9,1,5,1,10,15,16,13,3,81,22,3,92,0,12,31,6,0,0,1.54368734359741,0.642515063285828,0.772075772285461,1.66603994369507,0.412317663431168,0.567528605461121,1.38488519191742,0.648013830184937,0.322475492954254,1.33504974842072,0.562838852405548,0.515095770359039,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,14,31,30,0,5,3,5,6,39,9,12,8,0,3,1,5,18,16,14,0,78,22,1,91,4,9,32,4,0,1,1.54368734359741,0.642515063285828,0.772075772285461,1.66603994369507,0.412317663431168,0.567528605461121,1.38488519191742,0.648013830184937,0.322475492954254,1.33504974842072,0.562838852405548,0.515095770359039,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
