S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,16,29,15,8,11,0,14,5,29,12,0,0,1,15,1,8,11,20,19,5,79,14,3,53,7,21,41,0,0,9,1.60735726356506,0.64554637670517,0.804649472236633,1.72454404830933,0.402797400951386,0.59721827507019,1.39750123023987,0.628607988357544,0.366769999265671,1.37445676326752,0.531292080879211,0.563540279865265,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,16,30,15,0,12,0,14,7,31,9,0,0,2,19,9,4,18,19,23,7,76,14,5,50,4,25,44,0,0,0,1.60739326477051,0.645557165145874,0.804652512073517,1.72456538677216,0.402803838253021,0.597228705883026,1.39757752418518,0.628672003746033,0.366767853498459,1.37445497512817,0.531441509723663,0.563546061515808,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,15,33,12,1,13,1,14,3,31,6,0,0,1,17,2,6,12,15,23,10,80,17,0,50,7,23,43,0,8,1,1.60739326477051,0.645557165145874,0.804652512073517,1.72456538677216,0.402803838253021,0.597228705883026,1.39757752418518,0.628672003746033,0.366767853498459,1.37445497512817,0.531441509723663,0.563546061515808,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,14,29,14,0,10,0,11,6,32,10,1,0,5,14,0,10,13,16,23,8,80,14,3,52,6,22,43,0,6,1,1.60742008686066,0.645568370819092,0.804651021957397,1.72456347942352,0.402801305055618,0.59724223613739,1.39765596389771,0.628738164901733,0.366771012544632,1.37450551986694,0.531509459018707,0.563494503498077,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,17,31,14,0,10,3,16,8,34,10,0,0,2,14,0,8,9,16,22,9,80,16,1,54,8,22,43,0,1,0,1.60742008686066,0.645568370819092,0.804651021957397,1.72456347942352,0.402801305055618,0.59724223613739,1.39765596389771,0.628738164901733,0.366771012544632,1.37450551986694,0.531509459018707,0.563494503498077,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,15,30,14,0,13,1,13,5,29,10,0,0,1,14,0,3,12,20,21,8,75,17,1,53,7,19,43,0,0,0,1.60745584964752,0.645579814910889,0.804652273654938,1.7245614528656,0.402811676263809,0.5972540974617,1.39773654937744,0.628780126571655,0.366763025522232,1.37450850009918,0.531699240207672,0.563531219959259,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,17,29,14,1,11,1,13,2,29,12,3,0,0,18,0,7,11,15,24,9,79,15,7,54,7,23,44,0,0,3,1.60745584964752,0.645579814910889,0.804652273654938,1.7245614528656,0.402811676263809,0.5972540974617,1.39773654937744,0.628780126571655,0.366763025522232,1.37450850009918,0.531699240207672,0.563531219959259,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,17,27,13,0,9,0,17,5,30,4,0,0,1,14,0,6,12,15,23,12,77,15,3,52,9,21,42,0,11,0,1.60748851299286,0.645592153072357,0.804650485515595,1.7245659828186,0.402814775705337,0.597269535064697,1.39781188964844,0.628816664218903,0.366752803325653,1.37452113628387,0.531835377216339,0.563555598258972,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,15,28,14,1,11,0,8,5,27,8,0,0,2,13,0,4,11,14,20,10,77,18,5,52,7,24,42,0,0,7,1.60748851299286,0.645592153072357,0.804650485515595,1.7245659828186,0.402814775705337,0.597269535064697,1.39781188964844,0.628816664218903,0.366752803325653,1.37452113628387,0.531835377216339,0.563555598258972,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,19,29,19,0,12,1,13,5,31,10,0,0,3,16,0,8,14,16,21,11,81,13,1,54,6,23,44,0,1,2,1.60747838020325,0.645607888698578,0.804687201976776,1.72457468509674,0.402824938297272,0.59728479385376,1.39794814586639,0.628850936889648,0.366702675819397,1.37453007698059,0.531996846199035,0.563585877418518,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,15,30,15,0,14,10,14,0,29,11,0,0,5,14,1,4,12,16,22,9,79,11,3,53,7,22,40,0,1,0,1.60747838020325,0.645607888698578,0.804687201976776,1.72457468509674,0.402824938297272,0.59728479385376,1.39794814586639,0.628850936889648,0.366702675819397,1.37453007698059,0.531996846199035,0.563585877418518,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,15,31,15,0,11,0,13,6,31,10,8,0,0,12,0,9,10,16,21,4,79,11,9,55,9,22,41,0,0,0,1.60755085945129,0.645618200302124,0.804652512073517,1.7245968580246,0.402834236621857,0.597298264503479,1.39797258377075,0.628882229328156,0.366731882095337,1.3744900226593,0.532148718833923,0.563604474067688,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,16,33,14,0,11,0,14,2,31,8,1,0,2,16,1,3,10,14,23,11,75,11,4,53,7,22,42,0,0,0,1.60755085945129,0.645618200302124,0.804652512073517,1.7245968580246,0.402834236621857,0.597298264503479,1.39797258377075,0.628882229328156,0.366731882095337,1.3744900226593,0.532148718833923,0.563604474067688,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
