S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,
7,1,3,1,2,5,28,20,33,9,15,13,2,4,1,4,0,5,15,40,0,1,13,54,13,5,91,2,24,96,1,23,-0.996220827,0.637628317,-0.162365913,-1.165608883,0.444270581,-0.00236406,-1.037572026,0.641870379,0.350619644,-0.95034349,0.59612149,0.148542419,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,0,5,3,5,31,15,33,8,16,14,1,4,1,6,0,4,15,39,0,0,13,57,8,2,91,3,24,98,1,22,-0.996220827,0.637628317,-0.162365913,-1.165608883,0.444270581,-0.00236406,-1.037572026,0.641870379,0.350619644,-0.95034349,0.59612149,0.148542419,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,4,7,5,6,34,16,34,9,15,17,1,11,1,1,2,5,17,35,0,0,21,56,7,12,93,3,23,101,2,21,-0.996236384,0.637625098,-0.162351519,-1.165608525,0.44426769,-0.002349568,-1.03764832,0.641905844,0.350552022,-0.950337648,0.596158445,0.148479253,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,2,0,5,4,33,17,33,7,16,19,2,2,1,4,1,3,15,36,2,1,13,58,8,3,92,2,23,102,0,22,-0.996230602,0.637625992,-0.162343204,-1.16560936,0.444266081,-0.002332795,-1.037749529,0.641885757,0.350363165,-0.950365603,0.596202016,0.14848049,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,1,2,8,7,4,31,17,31,7,14,11,2,2,1,0,4,3,16,35,0,2,15,53,11,5,90,1,26,96,1,26,-0.996230602,0.637625992,-0.162343204,-1.16560936,0.444266081,-0.002332795,-1.037749529,0.641885757,0.350363165,-0.950365603,0.596202016,0.14848049,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,0,3,0,0,4,33,14,31,5,15,15,2,3,1,0,1,4,16,33,0,4,14,57,9,3,91,1,23,99,4,20,-0.996236682,0.63762188,-0.162331402,-1.165614247,0.444270074,-0.002320095,-1.037848711,0.64189285,0.350197583,-0.9504053,0.596242785,0.148488551,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,0,2,1,0,3,30,17,32,9,16,12,5,2,3,0,5,3,15,36,0,1,14,53,9,3,90,0,24,98,6,21,-0.996236682,0.63762188,-0.162331402,-1.165614247,0.444270074,-0.002320095,-1.037848711,0.64189285,0.350197583,-0.9504053,0.596242785,0.148488551,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,2,1,2,5,29,15,32,8,15,11,1,5,1,0,1,2,15,36,0,1,13,56,8,2,91,0,19,99,2,19,-0.996251285,0.637625217,-0.162324563,-1.165614724,0.44427377,-0.002305356,-1.037932158,0.641951025,0.350138426,-0.950438559,0.596290708,0.148492262,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,1,3,0,3,3,23,15,32,9,15,7,1,1,3,2,3,3,17,33,0,1,10,54,6,1,89,0,23,101,2,17,-0.996251285,0.637625217,-0.162324563,-1.165614724,0.44427377,-0.002305356,-1.037932158,0.641951025,0.350138426,-0.950438559,0.596290708,0.148492262,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
11,2,1,2,4,4,30,16,31,7,14,13,1,4,1,0,1,3,17,36,0,1,13,56,7,11,93,1,24,93,0,17,-0.996265829,0.637634158,-0.162323505,-1.165619135,0.444281667,-0.002283115,-1.038076282,0.642017126,0.35013026,-0.950474143,0.596348882,0.148499086,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,2,0,3,0,35,18,33,6,17,8,0,2,6,1,1,3,15,35,0,1,14,53,8,4,91,0,24,100,2,17,-0.996265829,0.637634158,-0.162323505,-1.165619135,0.444281667,-0.002283115,-1.038076282,0.642017126,0.35013026,-0.950474143,0.596348882,0.148499086,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,1,3,0,3,2,37,16,35,5,15,9,0,3,2,1,2,2,17,38,0,12,14,55,7,5,90,3,23,102,3,21,-0.996276557,0.6376459,-0.162323058,-1.165617943,0.444292992,-0.002270968,-1.038145781,0.642091155,0.350116849,-0.950501382,0.596406758,0.148508549,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
