time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
87.03,4.58,-1.64,1.69,-0.21,0.84,0.46,-0.21,0.14,-0.42,0,0,0,0,0,667,879,672,674,0,62,601,337,158,1
87.14,4.38,0.29,1.46,-0.21,0.82,0.45,-0.21,0.14,-0.42,0,0,1,0,0,666,880,670,673,0,62,601,335,157,1
87.24,6.45,2.95,0.2,-0.21,0.85,0.48,-0.21,0.15,-0.43,0,0,0,0,0,666,880,672,673,0,62,602,336,157,1
87.35,5.41,-0.02,2.56,-0.22,0.86,0.5,-0.22,0.15,-0.43,0,0,0,0,0,666,881,673,675,0,63,602,336,158,1
87.45,2.7,-4.76,3.39,-0.21,0.84,0.45,-0.22,0.15,-0.43,0,0,0,0,0,668,880,673,674,0,62,601,336,157,1
87.56,1.94,-0.82,1.15,-0.22,0.84,0.41,-0.22,0.14,-0.43,0,0,0,0,0,667,880,672,673,0,62,601,335,157,1
87.66,5.92,2.05,1.83,-0.23,0.83,0.48,-0.22,0.14,-0.42,0,0,0,1,0,667,880,673,674,0,62,601,337,158,1
87.77,1,-2.3,1.87,-0.22,0.83,0.49,-0.21,0.14,-0.42,0,0,0,0,0,667,881,672,673,0,62,601,335,158,1
87.88,0.72,-1.19,2.47,-0.22,0.85,0.43,-0.22,0.15,-0.42,0,0,0,0,0,666,881,671,674,0,61,601,336,158,1
87.98,6.13,-0.3,2.35,-0.22,0.85,0.43,-0.22,0.14,-0.42,0,0,0,0,0,665,881,669,671,0,61,600,336,157,1
88.09,6.56,1.44,1.66,-0.24,0.84,0.46,-0.22,0.14,-0.42,0,0,0,0,0,665,880,670,669,0,62,600,336,157,1
88.19,1.86,-0.1,1.18,-0.22,0.84,0.51,-0.22,0.14,-0.42,0,0,0,0,0,666,880,670,669,0,62,600,335,158,1
88.3,0.4,-0.6,0.96,-0.21,0.84,0.45,-0.22,0.14,-0.42,0,0,0,0,0,667,880,671,670,0,61,600,336,158,1
88.4,1.34,-1.52,0.41,-0.23,0.86,0.42,-0.22,0.14,-0.42,0,0,0,0,0,666,880,672,670,0,62,600,336,158,1
88.51,6.22,0.49,1.6,-0.23,0.87,0.43,-0.22,0.13,-0.43,0,0,0,0,0,667,880,673,670,0,62,600,334,157,1
88.61,5.32,0.14,1.65,-0.23,0.86,0.44,-0.22,0.14,-0.42,0,0,0,0,0,668,881,672,671,0,60,601,337,158,1
88.72,5.91,1.44,1.03,-0.22,0.85,0.44,-0.22,0.14,-0.42,0,1,0,0,0,667,881,672,670,0,60,600,336,158,1
88.82,5.42,0.41,1.1,-0.21,0.86,0.44,-0.22,0.14,-0.42,0,0,0,0,0,666,880,672,671,0,61,600,335,158,1
88.93,7.11,-0.97,2.13,-0.23,0.87,0.42,-0.22,0.14,-0.42,0,0,0,0,0,666,880,671,670,0,63,599,333,158,1
89.04,8.18,0.04,2.46,-0.22,0.82,0.48,-0.22,0.14,-0.43,0,0,0,0,0,666,879,671,670,0,62,601,336,158,1
89.14,-0.04,1.1,-0.31,-0.21,0.85,0.46,-0.22,0.14,-0.43,0,0,0,0,0,668,881,672,672,0,62,601,337,158,1
89.25,-1.97,1.8,-0.17,-0.21,0.86,0.45,-0.22,0.14,-0.43,0,0,0,0,0,667,881,674,672,0,63,600,338,158,1
