S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
23,48,9,0,9,8,5,0,8,2,2,9,0,3,0,1,7,19,23,6,8,29,9,22,22,0,0,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
27,46,8,1,11,0,4,0,9,10,4,7,2,4,0,0,4,24,18,5,8,32,10,17,21,0,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
30,49,14,0,11,0,2,3,7,1,2,7,4,1,1,2,11,23,22,5,7,30,10,20,21,0,8,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
29,45,14,1,12,0,3,0,10,2,1,7,12,3,0,1,10,22,22,5,3,31,10,17,24,1,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
26,45,15,0,13,2,2,0,7,3,2,6,12,4,1,0,6,24,26,4,8,29,14,19,23,4,0,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
29,40,13,0,11,0,8,0,10,3,5,8,2,4,3,0,5,22,15,4,8,35,9,20,19,1,0,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
27,39,11,2,12,1,3,0,4,3,6,7,4,2,1,0,5,22,16,3,8,35,8,16,18,0,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
26,41,13,0,11,3,2,0,7,5,5,9,1,2,1,0,6,22,15,3,7,37,5,21,17,0,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
29,40,11,0,11,0,5,0,8,11,3,7,0,1,2,0,10,23,16,5,11,35,5,18,17,2,0,1,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
28,37,9,7,15,0,8,0,11,0,3,6,1,1,1,0,3,23,16,6,6,35,8,17,14,0,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
