S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,0,8,6,136,24,2,16,5,121,17,26,5,15,141,19,-0.385264426,-0.024323542,0.166177914,1.616659403,-1.318298697,0.304623365,1.09807694,-0.055726651,0.031068107,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,4,8,5,128,21,1,16,6,119,16,24,6,12,142,19,-0.385264426,-0.024323542,0.166177914,1.616659403,-1.318298697,0.304623365,1.09807694,-0.055726651,0.031068107,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,11,6,128,17,6,15,5,130,16,20,4,17,138,15,-0.741000295,0.406914443,-0.004506853,-1.004790187,0.130392075,-0.003440833,-0.794018924,0.63228178,0.19052577,-0.990766346,0.309224814,0.135554954,28_Jun_2023_08_53
0,0,7,8,132,18,2,12,7,140,15,20,5,14,138,16,-0.741000295,0.406914443,-0.004506853,-1.004790187,0.130392075,-0.003440833,-0.794018924,0.63228178,0.19052577,-0.990766346,0.309224814,0.135554954,28_Jun_2023_08_53
0,0,12,4,134,22,2,13,8,150,15,20,5,14,131,14,-0.741000295,0.406914443,-0.004506853,-1.004790187,0.130392075,-0.003440833,-0.794018924,0.63228178,0.19052577,-0.990766346,0.309224814,0.135554954,28_Jun_2023_08_53
0,0,12,6,135,17,6,15,6,151,17,24,5,16,132,16,-0.740968704,0.406901538,-0.004522171,-1.004757643,0.130355075,-0.003502846,-0.794032991,0.632280231,0.190494955,-0.990688324,0.309185624,0.135568723,28_Jun_2023_08_53
1,0,11,6,132,21,4,15,6,145,11,18,3,17,125,14,-0.740968704,0.406901538,-0.004522171,-1.004757643,0.130355075,-0.003502846,-0.794032991,0.632280231,0.190494955,-0.990688324,0.309185624,0.135568723,28_Jun_2023_08_53
0,0,12,8,134,20,0,14,6,150,13,24,4,18,129,17,-0.740968704,0.406901538,-0.004522171,-1.004757643,0.130355075,-0.003502846,-0.794032991,0.632280231,0.190494955,-0.990688324,0.309185624,0.135568723,28_Jun_2023_08_53
0,4,11,7,133,20,4,15,11,152,15,24,5,17,132,16,-0.740259051,0.406771958,-0.005035595,-1.003110647,0.129802212,-0.004668688,-0.794158399,0.632045388,0.189541385,-0.9899894,0.30886054,0.134122476,28_Jun_2023_08_53
0,0,11,6,134,20,3,15,6,148,14,24,8,14,128,12,-0.739146948,0.406585068,-0.005604473,-0.999397635,0.128979057,-0.007169871,-0.794354975,0.632012486,0.188322768,-0.989084005,0.308233589,0.131776601,28_Jun_2023_08_53
9,0,10,7,136,18,2,11,6,149,17,24,9,15,130,16,-0.738209248,0.406460881,-0.006179421,-0.996488273,0.12835449,-0.009790591,-0.794427991,0.631675661,0.187662601,-0.988071799,0.307426304,0.129524648,28_Jun_2023_08_53
0,0,6,4,130,17,2,10,7,143,16,21,9,16,123,18,-0.737056911,0.40649578,-0.007003893,-0.993836164,0.128457844,-0.013313452,-0.794080853,0.631420255,0.187339574,-0.987021267,0.3068721,0.126977488,28_Jun_2023_08_53
8,0,12,3,131,20,6,16,5,147,14,24,7,12,136,13,-0.73597604,0.406435817,-0.007684367,-0.992596507,0.128714025,-0.015913503,-0.79388988,0.631462157,0.186229184,-0.986369252,0.306652486,0.124872923,28_Jun_2023_08_53
12,0,8,3,135,17,4,15,5,142,15,27,4,19,137,15,-0.385292411,-0.02428489,0.166138068,1.616659403,-1.318298697,0.304623365,1.098077059,-0.055742837,0.0310195,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
1,1,10,4,132,17,6,15,6,144,17,26,1,16,139,18,-0.734389305,0.406134427,-0.009173074,-0.991852641,0.128570437,-0.017987994,-0.792569935,0.631168067,0.184294432,-0.985357642,0.306810915,0.122557461,28_Jun_2023_08_53
