S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,
9,0,3,47,17,1,4,0,16,3,46,3,1,3,1,3,1,12,14,14,19,5,47,24,1,88,9,13,26,8,0,1,1.55731320381165,0.64816689491272,0.723118364810944,1.64295268058777,0.413096964359283,0.509824395179749,1.12888693809509,0.548874497413635,0.485411077737808,1.24145090579987,0.49160760641098,0.667356014251709,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
10,3,3,44,11,0,6,0,9,2,46,7,0,3,0,4,0,10,13,12,20,6,54,23,1,87,7,17,23,8,9,1,1.55736088752747,0.648204863071442,0.722977876663208,1.64262580871582,0.413127690553665,0.509425282478333,1.12528622150421,0.550551474094391,0.490409582853317,1.24142801761627,0.491706043481827,0.671007215976715,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,3,1,41,13,0,3,0,9,1,52,2,0,4,1,3,1,15,12,19,21,4,49,30,1,87,10,19,24,10,1,0,1.55743753910065,0.648247301578522,0.722875416278839,1.64228272438049,0.413095831871033,0.509285449981689,1.12169122695923,0.550644874572754,0.497369736433029,1.24163222312927,0.491643905639648,0.67583578824997,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,11,9,38,14,2,7,0,10,3,50,5,0,2,0,2,1,8,14,16,16,3,48,27,0,87,9,21,24,7,0,0,1.5575430393219,0.648287773132324,0.722882270812988,1.64193201065063,0.413093954324722,0.509044051170349,1.11841750144959,0.550727248191834,0.504185855388641,1.24176573753357,0.491645991802216,0.68042117357254,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,4,42,14,1,7,4,7,1,50,7,0,3,0,6,1,16,14,15,20,9,51,31,1,84,9,16,23,8,1,0,1.55764615535736,0.648303210735321,0.722858607769012,1.64143824577332,0.413064807653427,0.508662343025208,1.11522936820984,0.550863981246948,0.511214375495911,1.24180853366852,0.491993606090546,0.684796571731567,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,44,14,1,2,0,9,0,50,4,1,3,1,2,0,10,12,12,19,6,50,32,3,86,10,13,25,5,0,0,1.55772125720978,0.648292183876038,0.722805380821228,1.6411280632019,0.413098037242889,0.508322298526764,1.11275255680084,0.551069498062134,0.516517341136932,1.24183511734009,0.492175668478012,0.688164174556732,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,1,3,41,12,0,6,2,9,0,53,9,1,3,0,1,0,8,12,9,22,5,49,31,1,90,12,13,26,6,0,0,1.55782020092011,0.648343086242676,0.722750842571258,1.64077031612396,0.413144439458847,0.508033335208893,1.10968267917633,0.551286101341248,0.523631751537323,1.2420209646225,0.49243101477623,0.692659914493561,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,3,44,11,0,6,0,10,2,53,3,5,0,0,1,1,7,14,7,19,1,48,29,0,89,9,19,24,8,0,0,1.55791592597961,0.648406505584717,0.722733736038208,1.64041972160339,0.413081169128418,0.507847428321838,1.10686552524567,0.551446616649628,0.530584752559662,1.24237179756165,0.492445200681686,0.697104573249817,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,41,9,2,4,0,9,1,49,9,0,4,1,0,0,11,13,10,21,6,49,30,0,86,9,13,24,9,0,1,1.5580290555954,0.64841902256012,0.722721099853516,1.64011383056641,0.413201749324799,0.507396459579468,1.10431361198425,0.551729559898376,0.537506103515625,1.24275887012482,0.492532044649124,0.701463282108307,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,1,3,41,9,0,7,8,16,0,48,1,0,2,0,2,1,8,17,11,16,8,46,28,1,87,13,17,23,11,8,0,1.55817949771881,0.648376107215881,0.722719192504883,1.63984704017639,0.413197994232178,0.507293224334717,1.1025915145874,0.551924645900726,0.542552411556244,1.24315118789673,0.492597490549087,0.704622507095337,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,48,7,1,7,0,11,0,49,3,0,2,1,4,1,4,15,12,20,3,49,25,2,87,9,16,26,12,4,0,1.55833303928375,0.648410201072693,0.722793221473694,1.63954615592957,0.413240313529968,0.506995737552643,1.10029995441437,0.552173912525177,0.549467444419861,1.2436306476593,0.492833763360977,0.708813548088074,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
10,1,4,41,8,0,10,1,12,3,47,4,1,3,0,0,3,6,17,6,19,8,49,25,1,84,11,15,26,11,0,0,1.55847346782684,0.648387432098389,0.722818434238434,1.63922393321991,0.413280516862869,0.506765484809876,1.09797894954681,0.552711069583893,0.556441783905029,1.2441371679306,0.493244707584381,0.713036000728607,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,1,5,42,9,0,5,7,11,2,49,2,0,0,0,1,7,6,15,12,24,0,53,25,0,87,10,18,23,5,0,0,1.55858016014099,0.648390412330627,0.722774922847748,1.63900661468506,0.41340035200119,0.506415724754334,1.09577250480652,0.553326725959778,0.563595712184906,1.24472844600678,0.493375957012177,0.71742045879364,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,0,3,38,11,2,11,0,12,2,46,2,0,0,11,2,1,9,14,9,20,7,53,24,2,86,9,17,24,10,8,0,1.55868709087372,0.648387014865875,0.722706437110901,1.63877499103546,0.413482666015625,0.506040334701538,1.09405624866486,0.553902566432953,0.570504724979401,1.24537301063538,0.493536204099655,0.721501648426056,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
