S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,56,0,3,92,18,316,3,30,205,4,63,0,79,2,99,8,73,11,20,10,4,19,194,24,184,17,169,239,-1.47681033611298,0.192513078451157,0.453299790620804,-1.80482280254364,0.186420634388924,0.433986097574234,-1.54812562465668,0.554834067821503,0.41199716925621,-1.76363813877106,0.308566123247147,0.553935647010803,14_Jun_2023_08:30
0,54,0,3,91,16,310,1,29,210,3,67,0,75,1,99,0,69,9,19,15,0,11,194,28,184,13,170,245,-1.47595679759979,0.192204415798187,0.454761028289795,-1.804607629776,0.186014041304588,0.434947997331619,-1.549192070961,0.553729951381683,0.413118034601212,-1.76356208324432,0.307214379310608,0.555601835250855,14_Jun_2023_08:30
1,48,1,1,87,20,315,1,37,204,3,67,1,76,2,99,1,73,14,20,15,1,16,193,25,190,9,167,237,-1.47587490081787,0.192477524280548,0.455991983413696,-1.80451655387878,0.185998558998108,0.434904038906097,-1.54849433898926,0.554129838943481,0.414289116859436,-1.76344764232636,0.307381004095078,0.55548232793808,14_Jun_2023_08:30
1,52,2,1,87,21,319,1,33,210,3,67,1,80,0,100,0,72,6,21,16,1,16,196,21,187,14,164,238,-1.47520565986633,0.193572208285332,0.455907166004181,-1.8042414188385,0.185999304056168,0.434752285480499,-1.54786789417267,0.555039167404175,0.415497332811356,-1.76289212703705,0.307484686374664,0.555405616760254,14_Jun_2023_08:30
0,51,1,0,90,18,319,2,36,209,2,66,1,79,1,99,9,52,21,22,18,3,17,198,27,189,19,166,235,-1.47559726238251,0.192887246608734,0.457924723625183,-1.80416607856751,0.185474887490272,0.435949951410294,-1.54924309253693,0.553934395313263,0.416370421648026,-1.76278674602509,0.30608144402504,0.557287096977234,14_Jun_2023_08:30
1,51,1,2,98,19,320,2,35,205,2,68,1,75,0,99,10,55,15,22,10,2,16,195,26,184,19,168,231,-1.47658860683441,0.192674428224564,0.458930760622025,-1.80447733402252,0.185634940862656,0.435827016830444,-1.54944038391113,0.553806066513062,0.416802763938904,-1.76352345943451,0.306223392486572,0.557233035564423,14_Jun_2023_08:30
2,53,2,1,92,20,324,0,35,210,4,65,1,71,2,100,0,52,21,20,14,0,16,185,26,180,18,169,238,-1.47717952728271,0.193161278963089,0.459004938602448,-1.80482995510101,0.185614734888077,0.435938149690628,-1.55035698413849,0.553884506225586,0.416723012924194,-1.76430320739746,0.306274265050888,0.557343423366547,14_Jun_2023_08:30
1,43,1,0,90,18,319,1,34,208,5,58,0,75,1,102,3,54,13,17,14,1,19,195,29,185,19,168,243,-1.47727382183075,0.19221505522728,0.458643794059753,-1.80513036251068,0.185608759522438,0.43557795882225,-1.55080842971802,0.552966713905335,0.414475351572037,-1.76539707183838,0.306596845388412,0.556580126285553,14_Jun_2023_08:30
0,39,1,0,94,19,324,1,37,212,3,67,0,81,0,108,6,54,12,22,13,1,19,202,26,187,26,176,244,-1.476682305336,0.191980972886085,0.458189994096756,-1.80506217479706,0.186170175671577,0.434323519468308,-1.54848849773407,0.553150236606598,0.413140922784805,-1.76510214805603,0.307967662811279,0.554716348648071,14_Jun_2023_08:30
1,40,1,1,108,19,335,1,43,202,3,66,9,79,0,108,15,55,15,16,12,1,20,219,29,190,20,172,236,-1.47687196731567,0.191554963588715,0.455952823162079,-1.8049088716507,0.18674048781395,0.433731228113174,-1.54771602153778,0.552299797534943,0.410960465669632,-1.76486122608185,0.308326214551926,0.554090976715088,14_Jun_2023_08:30
2,35,2,2,108,18,339,1,41,207,5,67,0,75,0,103,5,35,12,17,10,3,14,202,23,237,16,173,225,-1.47884607315063,0.188764080405235,0.450322508811951,-1.80443143844605,0.186390072107315,0.434500724077225,-1.55206906795502,0.548081576824188,0.40415570139885,-1.76396131515503,0.306065022945404,0.555572271347046,14_Jun_2023_08:30
1,43,0,1,125,19,347,0,39,210,6,68,1,69,0,105,7,40,14,17,11,0,22,203,21,229,17,181,231,-1.48365521430969,0.182857304811478,0.445829689502716,-1.80493938922882,0.18528139591217,0.436609297990799,-1.55878722667694,0.54181033372879,0.394451916217804,-1.76317584514618,0.304128110408783,0.557196199893951,14_Jun_2023_08:30
