S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,2,3,1,0,2,1,2,5,5,0,26,1,47,1,2,5,3,1,1,5,1,1,15,28,3,2,3,3,-1.44596242904663,0.221225887537003,0.731330156326294,-1.69383037090302,0.11466708779335,1.0341717004776,-2.19201016426086,0.03264819458127,1.44727289676666,-1.59379863739014,0.254377692937851,0.994682848453522,14_Jun_2023_08_35
1,3,2,1,1,0,0,5,7,2,0,26,0,40,3,1,5,3,1,2,4,1,0,17,28,2,1,3,7,-1.45233178138733,0.218789458274841,0.731128573417664,-1.69192945957184,0.114201508462429,1.03395235538483,-2.19196963310242,0.03264993429184,1.44727730751038,-1.590123295784,0.252809196710587,0.995400667190552,14_Jun_2023_08_35
0,2,0,1,0,1,2,2,5,4,2,25,1,43,1,1,4,2,0,1,5,1,1,15,30,1,1,3,3,-1.44360685348511,0.216724038124084,0.729364514350891,-1.68991458415985,0.114227347075939,1.03488183021545,-2.19197821617126,0.032653216272593,1.44724500179291,-1.58225631713867,0.249345600605011,0.997112333774567,14_Jun_2023_08_35
2,3,1,1,1,2,1,1,8,4,0,28,0,45,1,1,6,2,1,1,4,1,1,16,29,1,2,4,5,-1.43188452720642,0.211202189326286,0.723321557044983,-1.68683457374573,0.113067582249641,1.03473627567291,-2.19201183319092,0.032626111060381,1.4472393989563,-1.57239675521851,0.244193270802498,0.999065279960632,14_Jun_2023_08_35
0,3,2,1,1,1,2,3,6,3,0,28,1,43,1,2,6,2,0,1,4,0,1,14,27,1,0,4,6,-1.41169333457947,0.202730149030685,0.722607254981995,-1.6826890707016,0.112098142504692,1.03413271903992,-2.19198846817017,0.032697387039662,1.44724154472351,-1.56049203872681,0.237720772624016,1.00101709365845,14_Jun_2023_08_35
4,3,1,1,1,2,0,4,6,4,0,27,1,44,1,1,4,2,1,0,5,0,4,17,31,1,1,3,3,-1.39011633396149,0.196267336606979,0.726131498813629,-1.67825758457184,0.111019231379032,1.03291141986847,-2.19199705123901,0.032729841768742,1.44722425937653,-1.54800915718079,0.23143270611763,1.00322985649109,14_Jun_2023_08_35
2,2,0,3,0,2,0,2,6,3,0,28,0,43,1,0,4,3,0,1,5,0,1,17,26,1,1,2,4,-1.3762811422348,0.192150428891182,0.727658569812775,-1.67452573776245,0.110123254358768,1.03263342380524,-2.19196081161499,0.032762747257948,1.44720017910004,-1.53996658325195,0.227004393935204,1.00428485870361,14_Jun_2023_08_35
0,3,2,2,1,3,3,2,6,1,0,25,1,43,5,1,6,3,0,1,4,1,2,16,31,0,0,4,4,-1.37143564224243,0.191982537508011,0.727134823799133,-1.67439997196198,0.109960481524467,1.03280711174011,-2.19198966026306,0.032742295414209,1.44722175598145,-1.53981304168701,0.226727485656738,1.00479304790497,14_Jun_2023_08_35
0,4,1,0,0,1,3,2,7,3,0,26,1,44,2,1,6,3,0,1,5,0,0,16,29,4,0,3,4,-1.37068545818329,0.193170055747032,0.727651596069336,-1.67540085315704,0.110342249274254,1.03222894668579,-2.19197297096252,0.032753940671682,1.44720077514648,-1.54210650920868,0.228235974907875,1.00374984741211,14_Jun_2023_08_35
2,3,0,2,0,2,2,1,7,5,1,26,1,40,2,1,5,2,1,0,5,0,1,13,28,1,1,3,6,-1.37432110309601,0.195861250162125,0.728955686092377,-1.67662525177002,0.110664866864681,1.03182828426361,-2.19195318222046,0.032756447792053,1.44721531867981,-1.54582726955414,0.230993241071701,1.00237500667572,14_Jun_2023_08_35
0,2,3,1,1,1,2,4,7,4,0,25,0,42,1,2,4,6,5,4,5,1,0,16,28,2,1,3,4,-1.38365209102631,0.199419021606445,0.731464743614197,-1.67923605442047,0.111466020345688,1.03199803829193,-2.1919572353363,0.032723218202591,1.44719958305359,-1.55193495750427,0.234834656119347,1.00175881385803,14_Jun_2023_08_35
1,2,0,1,1,1,2,6,9,2,1,26,0,40,1,1,5,1,0,0,5,1,1,16,31,5,1,4,5,-1.39737796783447,0.203173607587814,0.735359907150269,-1.68176829814911,0.111909031867981,1.03311491012573,-2.19197988510132,0.032715678215027,1.44719445705414,-1.5591903924942,0.238705113530159,1.00224339962006,14_Jun_2023_08_35
0,4,2,3,0,1,6,5,7,3,0,26,0,44,1,0,4,2,0,0,4,2,1,15,30,2,0,6,3,-1.41353499889374,0.206068217754364,0.742368400096893,-1.68478775024414,0.11263969540596,1.03499555587769,-2.19195222854614,0.032683696597815,1.44720959663391,-1.56777453422546,0.243286430835724,1.00297939777374,14_Jun_2023_08_35
1,4,0,1,0,2,1,7,6,2,0,26,0,42,0,3,4,2,0,1,4,3,1,16,30,1,1,3,5,-1.43256807327271,0.20949387550354,0.750658750534058,-1.6889591217041,0.113407544791698,1.03561425209045,-2.19198608398437,0.032703049480915,1.44724249839783,-1.57741522789001,0.248250484466553,1.00350677967072,14_Jun_2023_08_35
