S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M2x,M2y,M2z,M1x,M1y,M1z,M4x,M4y,M4z,M3x,M3y,M3z,sesion_time_stamp
2,1,7,7,7,0,5,0,11,0,66,1,0,1,12,0,6,8,3,56,12,2,65,6,0,46,1,1.553978443,0.658614099,0.77757293,1.66700232,0.41993627,0.594133377,1.115752935,0.687566817,0.598878026,1.234254718,0.589253187,0.701463521,11_Sep_2023_13_59
1,1,6,2,7,0,3,1,13,15,63,0,0,0,9,9,6,10,1,59,10,7,68,7,0,44,1,1.553268313,0.658118725,0.777543008,1.66710484,0.419946045,0.594458044,1.114673376,0.676877141,0.593405962,1.233793974,0.582402349,0.698877037,11_Sep_2023_13_59
2,1,8,1,8,4,4,0,11,2,67,1,0,10,8,0,6,12,1,65,17,1,74,7,4,46,0,1.552637696,0.657640457,0.777322412,1.667187452,0.419965804,0.594589472,1.113892794,0.668580592,0.589495778,1.233341217,0.577110052,0.696828306,11_Sep_2023_13_59
9,1,7,8,9,0,2,1,10,0,67,4,0,0,11,0,6,10,1,62,11,0,74,16,1,45,1,1.551849365,0.657064915,0.777062893,1.66737175,0.419984072,0.594831169,1.113121986,0.657618761,0.584171593,1.232988954,0.570206225,0.694227815,11_Sep_2023_13_59
3,0,7,9,6,0,6,2,8,0,66,4,1,1,9,0,9,7,0,63,16,3,75,8,0,41,1,1.551018476,0.656464934,0.776759565,1.667630911,0.420026809,0.595084429,1.11270988,0.646463633,0.578808606,1.232869267,0.563255072,0.691691101,11_Sep_2023_13_59
8,0,7,5,9,0,9,16,10,2,66,5,0,1,5,0,5,11,0,71,16,3,77,3,7,36,8,1.550089359,0.655840456,0.776318073,1.667842865,0.420013279,0.595345736,1.112621665,0.635134459,0.573360443,1.23297894,0.556002557,0.689103603,11_Sep_2023_13_59
4,2,7,5,8,1,7,0,10,0,64,8,0,0,12,0,6,9,0,77,20,2,78,5,5,41,0,1.549311876,0.655373812,0.775949776,1.668021202,0.420037717,0.595612049,1.112698555,0.626541138,0.56941247,1.23297143,0.550519109,0.687419713,11_Sep_2023_13_59
0,1,4,3,8,1,5,0,11,0,63,4,5,0,8,0,8,11,0,79,17,3,79,7,1,46,14,1.548293233,0.654780746,0.775667727,1.668329477,0.420092881,0.595830202,1.112829447,0.614861608,0.564554751,1.233073711,0.543284893,0.685108602,11_Sep_2023_13_59
5,1,3,8,9,0,6,2,13,0,59,1,1,1,11,1,8,8,0,79,17,2,86,13,0,52,3,1.547512174,0.654361427,0.775319099,1.668533325,0.42009595,0.596075296,1.112940788,0.606085181,0.561064541,1.233131409,0.538052738,0.68344146,11_Sep_2023_13_59
5,1,6,6,9,0,4,0,15,1,51,3,1,1,6,1,2,8,4,81,12,3,84,6,0,54,1,1.54651773,0.653737009,0.7748667,1.668849349,0.420089871,0.596191406,1.113392949,0.594455898,0.556342244,1.233264565,0.531341195,0.681183457,11_Sep_2023_13_59
6,1,6,6,11,0,5,14,11,1,45,3,0,1,5,1,7,9,0,81,13,2,87,6,1,51,0,1.545514226,0.653213739,0.774540484,1.669018984,0.420116246,0.596413791,1.114015937,0.582816124,0.551523685,1.233826756,0.524428427,0.678866506,11_Sep_2023_13_59
5,0,2,10,7,5,4,1,9,0,40,2,1,0,12,0,4,10,0,95,15,3,90,3,1,54,0,1.544574142,0.652640462,0.774170876,1.669013023,0.420128912,0.596563816,1.114874482,0.570827365,0.546851039,1.234459043,0.517202735,0.676616073,11_Sep_2023_13_59
5,0,6,7,12,1,3,2,9,1,43,4,0,0,9,2,3,9,0,107,13,2,88,6,0,56,0,1.54388237,0.652241349,0.773997486,1.668991446,0.420152336,0.596597135,1.115592241,0.561721087,0.543616235,1.235155344,0.511447251,0.674806952,11_Sep_2023_13_59
