S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
37,12,15,0,7,1,2,0,3,0,2,4,0,9,5,0,2,15,13,17,33,98,7,49,1,0,12,0,0.0978754386305809,-0.09924144297838211,0.259207159280777,-0.210178941488266,-0.3106369972229004,0.5647277235984802,-0.022996731102466583,-0.4610200822353363,0.3115261495113373,-0.09793898463249207,-0.07916310429573059,0.273189902305603,29_Jan_2024_11_07
37,12,12,2,7,7,3,1,4,0,8,5,4,11,2,0,4,16,11,15,28,98,5,48,7,4,9,14,0.09518352895975113,-0.099839948117733,0.25741061568260193,-0.21001717448234558,-0.3105357885360718,0.5647331476211548,-0.022979579865932465,-0.4610186815261841,0.3114277422428131,-0.10029932111501694,-0.07950937747955322,0.27229827642440796,29_Jan_2024_11_07
37,14,15,0,7,2,4,0,2,0,4,5,1,13,0,0,0,16,12,17,30,95,3,41,1,3,11,0,0.09332958608865738,-0.10029244422912598,0.25623708963394165,-0.20991235971450806,-0.3104667365550995,0.5647334456443787,-0.022963592782616615,-0.46102356910705566,0.31136053800582886,-0.10188708454370499,-0.07974569499492645,0.2717466354370117,29_Jan_2024_11_07
37,11,13,0,7,1,1,0,3,0,2,4,2,6,1,0,2,13,10,16,32,96,4,47,2,2,11,0,0.0904700756072998,-0.10132695734500885,0.2546336352825165,-0.2097695767879486,-0.3103615641593933,0.564729630947113,-0.02292921021580696,-0.4610306918621063,0.3112671673297882,-0.10441391915082932,-0.07993906736373901,0.27085182070732117,29_Jan_2024_11_07
36,14,16,1,5,0,5,0,2,0,5,0,2,4,3,0,3,13,11,16,30,92,1,40,1,2,10,0,0.08755871653556824,-0.10262132436037064,0.2531561255455017,-0.2096434086561203,-0.310272753238678,0.5647332668304443,-0.022884372621774673,-0.4610363841056824,0.3111840486526489,-0.10703929513692856,-0.08007875084877014,0.26993292570114136,29_Jan_2024_11_07
38,13,15,0,14,13,0,0,3,7,5,3,5,13,1,0,1,15,7,18,29,90,4,44,1,0,11,0,0.08552762866020203,-0.1034965068101883,0.25218111276626587,-0.2095620185136795,-0.31021296977996826,0.5647327303886414,-0.02284865453839302,-0.46103933453559875,0.31113550066947937,-0.108770951628685,-0.08019085973501205,0.26939618587493896,29_Jan_2024_11_07
36,13,15,0,1,0,0,0,0,0,5,6,2,10,2,0,3,13,10,16,28,90,4,44,1,1,10,0,0.08249007910490036,-0.1049540787935257,0.2509113848209381,-0.20943541824817657,-0.31012287735939026,0.5647480487823486,-0.022793497890233994,-0.46102893352508545,0.31106066703796387,-0.11135120689868927,-0.08045714348554611,0.2686920464038849,29_Jan_2024_11_07
34,13,11,0,5,0,1,0,5,0,3,4,2,10,3,0,3,12,6,15,30,89,2,41,5,4,13,1,0.07944489270448685,-0.10632592439651489,0.249790757894516,-0.2093030959367752,-0.3100493848323822,0.5647552013397217,-0.022735783830285072,-0.46101540327072144,0.31099116802215576,-0.11399920284748077,-0.08077611029148102,0.26804691553115845,29_Jan_2024_11_07
39,13,15,4,1,0,0,0,9,2,0,5,4,10,1,0,0,15,8,16,30,90,2,41,11,3,12,1,0.07722931355237961,-0.10729248821735382,0.24897073209285736,-0.2092079222202301,-0.31000789999961853,0.5647668242454529,-0.022698625922203064,-0.4610060453414917,0.31095173954963684,-0.11583840847015381,-0.08100481331348419,0.26763153076171875,29_Jan_2024_11_07
35,11,21,1,6,0,1,0,0,0,2,0,1,8,1,0,5,13,9,16,28,88,2,38,2,2,13,4,0.07393299043178558,-0.10824953019618988,0.24767163395881653,-0.20905667543411255,-0.30992525815963745,0.5647891163825989,-0.022624075412750244,-0.46101248264312744,0.3109263479709625,-0.11857835948467255,-0.08131305873394012,0.26703643798828125,29_Jan_2024_11_07
