S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,0,12,10,230,15,6,16,4,143,16,19,13,14,656,25,-0.766234815,0.406510949,0.034953326,-1.004403949,0.128275871,-0.003843612,-0.850019634,0.634118736,0.216270238,-1.032398462,0.310353667,0.135267273,28_Jun_2023_08_50
2,1,13,11,233,15,7,17,4,144,17,21,8,15,623,26,-0.766401172,0.406414956,0.034907635,-1.00390017,0.12801072,-0.003891273,-0.850216329,0.633348703,0.216530263,-1.032274842,0.309998006,0.135285988,28_Jun_2023_08_50
0,0,13,10,230,20,8,14,6,143,17,20,14,12,611,24,-0.766515493,0.406425625,0.035036627,-1.003331423,0.127920061,-0.004041983,-0.850490034,0.633268952,0.21665065,-1.032144904,0.309766799,0.135171294,28_Jun_2023_08_50
1,1,8,5,229,19,0,17,3,141,18,16,9,15,627,24,-0.766771138,0.406412989,0.035145093,-1.003653169,0.127818942,-0.003798354,-0.850811005,0.633236587,0.216907442,-1.032241702,0.309357613,0.135749489,28_Jun_2023_08_50
0,0,8,4,229,20,2,16,4,141,17,17,11,14,617,20,-0.766982019,0.406314343,0.035258286,-1.004003286,0.127222016,-0.002921415,-0.851112783,0.633146703,0.217010781,-1.032328963,0.308898062,0.136436477,28_Jun_2023_08_50
0,0,9,8,233,19,5,16,4,141,17,17,14,16,625,19,-0.767238379,0.406274468,0.035323292,-1.004084468,0.12635766,-0.001566524,-0.85148865,0.633041859,0.217044279,-1.03230536,0.308470428,0.13733919,28_Jun_2023_08_50
0,1,13,4,232,17,4,17,4,143,17,22,10,16,626,20,-0.767322361,0.40634945,0.035244726,-1.003962994,0.125715241,-0.000558352,-0.851876259,0.633197367,0.216726288,-1.032392502,0.308174103,0.137899682,28_Jun_2023_08_50
0,1,10,4,237,19,1,16,10,138,18,23,13,12,592,21,-0.767241955,0.406204373,0.035203595,-1.003658652,0.125340194,-0.000614605,-0.852121055,0.633102059,0.216367275,-1.032399893,0.308018446,0.137546852,28_Jun_2023_08_50
0,0,12,3,232,20,7,16,6,141,14,21,12,17,615,21,-0.767264545,0.406272203,0.035065878,-1.003634453,0.125641301,-0.001762215,-0.852346897,0.632746816,0.216520458,-1.032467246,0.30792734,0.136810482,28_Jun_2023_08_50
0,7,9,2,227,20,3,13,0,141,17,16,13,16,595,22,-0.767169356,0.406279445,0.034987643,-1.003756523,0.126185238,-0.003435391,-0.852481008,0.632676482,0.216530994,-1.032618165,0.307925344,0.135823622,28_Jun_2023_08_50
0,15,10,6,229,20,5,18,2,139,19,21,14,15,602,24,-0.766753852,0.40638712,0.03476375,-1.003229141,0.12636134,-0.004910663,-0.852552295,0.632551968,0.216426179,-1.03245151,0.307883382,0.134545252,28_Jun_2023_08_50
0,0,9,8,226,19,5,16,6,142,14,20,13,17,610,22,-0.766348302,0.406570315,0.034543987,-1.00252986,0.126547486,-0.00610661,-0.852441788,0.632429123,0.216418222,-1.032233596,0.307895213,0.133495405,28_Jun_2023_08_50
1,6,14,6,230,20,3,13,3,141,13,20,13,9,596,22,-0.766269386,0.40665397,0.034389313,-1.002022624,0.126882747,-0.007126344,-0.852378786,0.632415175,0.216400489,-1.032210588,0.308027983,0.132724896,28_Jun_2023_08_50
1,0,11,11,229,18,4,17,4,141,15,21,13,15,581,19,-0.766219795,0.406721234,0.034238111,-1.00200367,0.127294242,-0.008209379,-0.852380574,0.632328272,0.216484576,-1.032339215,0.308157355,0.131998837,28_Jun_2023_08_50
1,0,10,10,229,20,6,18,4,144,14,19,10,14,591,20,-0.766017854,0.406879783,0.034163337,-1.002348185,0.127932608,-0.009408299,-0.852383435,0.632235527,0.216646314,-1.03273499,0.308563054,0.13102439,28_Jun_2023_08_50
1,1,10,8,228,18,5,14,3,144,13,18,10,13,583,21,-0.38526848,-0.024285467,0.16615653,1.616659403,-1.318298697,0.304623365,1.098063231,-0.055746984,0.030994132,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
